Prefix Length,Determiners,Prompt,Answer,Correct
1,thirteen-sixteen,"John wanted half of the pastries. Did John want half of the pastries? Yes.
Mark purchased thirteen of the apples. Did Mark purchase sixteen of the apples?", No.,1
1,sixteen-thirteen,"John wanted half of the pastries. Did John want half of the pastries? Yes.
Bill owned sixteen of the shirts. Did Bill own thirteen of the shirts?", No.,0
1,sixteen-at least thirteen,"John wanted half of the pastries. Did John want half of the pastries? Yes.
Robin ordered sixteen of the mugs. Did Robin order at least thirteen of the mugs?", Yes.,1
1,at least thirteen-sixteen,"John wanted half of the pastries. Did John want half of the pastries? Yes.
Laura had at least thirteen of the burgers. Did Laura have sixteen of the burgers?", No.,0
1,sixteen-sixteen,"John wanted half of the pastries. Did John want half of the pastries? Yes.
Michael owned sixteen of the peanuts. Did Michael own sixteen of the peanuts?", Yes.,1
1,at least thirteen-at least thirteen,"John wanted half of the pastries. Did John want half of the pastries? Yes.
Sophie bought at least thirteen of the sandwiches. Did Sophie buy at least thirteen of the sandwiches?", Yes.,1
1,thirteen-sixteen,"The singer ate half of the cherries. Did the singer eat some of the cherries? Yes.
Michael noticed thirteen of the pastries. Did Michael notice sixteen of the pastries?", Yes.,0
1,sixteen-thirteen,"The singer ate half of the cherries. Did the singer eat some of the cherries? Yes.
Bill got sixteen of the pancakes. Did Bill get thirteen of the pancakes?", Yes.,1
1,sixteen-at least thirteen,"The singer ate half of the cherries. Did the singer eat some of the cherries? Yes.
Sixteen of the burgers are warm. Are at least thirteen of the burgers warm?", Yes.,1
1,at least thirteen-sixteen,"The singer ate half of the cherries. Did the singer eat some of the cherries? Yes.
Mark wanted at least thirteen of the burgers. Did Mark want sixteen of the burgers?", Yes.,0
1,sixteen-sixteen,"The singer ate half of the cherries. Did the singer eat some of the cherries? Yes.
The teacher owned sixteen of the rings. Did the teacher own sixteen of the rings?", Yes.,1
1,at least thirteen-at least thirteen,"The singer ate half of the cherries. Did the singer eat some of the cherries? Yes.
At least thirteen of the mugs are colourful. Are at least thirteen of the mugs colourful?", Yes.,1
1,thirteen-sixteen,"Mary liked half of the candles. Did Mary like half of the candles? Yes.
Sophie ate thirteen of the bagels. Did Sophie eat sixteen of the bagels?", No.,1
1,sixteen-thirteen,"Mary liked half of the candles. Did Mary like half of the candles? Yes.
The actress spotted sixteen of the churros. Did the actress spot thirteen of the churros?", No.,0
1,sixteen-at least thirteen,"Mary liked half of the candles. Did Mary like half of the candles? Yes.
Sophie liked sixteen of the sweaters. Did Sophie like at least thirteen of the sweaters?", Yes.,1
1,at least thirteen-sixteen,"Mary liked half of the candles. Did Mary like half of the candles? Yes.
The teacher ordered at least thirteen of the bagels. Did the teacher order sixteen of the bagels?", No.,0
1,sixteen-sixteen,"Mary liked half of the candles. Did Mary like half of the candles? Yes.
Laura ordered sixteen of the candles. Did Laura order sixteen of the candles?", No.,0
1,at least thirteen-at least thirteen,"Mary liked half of the candles. Did Mary like half of the candles? Yes.
At least thirteen of the oranges are sold out. Are at least thirteen of the oranges sold out?", Yes.,1
1,thirteen-sixteen,"Mark ate three of the churros. Did Mark eat more than two of the churros? Yes.
Thirteen of the tickets are yellow. Are sixteen of the tickets yellow?", Yes.,0
1,sixteen-thirteen,"Mark ate three of the churros. Did Mark eat more than two of the churros? Yes.
Sophie bought sixteen of the umbrellas. Did Sophie buy thirteen of the umbrellas?", No.,0
