PrefixLength,Determiners,Prompt,Answer,Correct,YesLogProb,NoLogProb,MaybeLogProb,LogProbDelta
0,some-all,"If Ann sees all of the chocolates, Ann will get a prize. Ann saw some of the chocolates. Does Ann get a prize?","

",0,-3.4810019,-3.662864,,0.18186210000000003
0,all-some,"If Sophie sees some of the sights, Sophie will get a prize. Sophie saw all of the sights. Does Sophie get a prize?","

",0,-2.8577049,-3.6298108,,-0.7721059000000001
0,all-all,"If Sam buys all of the cupcakes, Sam will get a prize. Sam bought all of the cupcakes. Does Sam get a prize?","

",0,-2.474621,-3.302128,,-0.8275070000000002
0,some-some,"If Michael purchases some of the umbrellas, Michael will get a prize. Michael purchased some of the umbrellas. Does Michael get a prize?","

",0,-2.3695238,-3.6239524,,-1.2544285999999998
0,some-all,"If Sam likes all of the toys, Sam will get a prize. Sam liked some of the toys. Does Sam get a prize?","

",0,-3.273674,-3.1486819,,-0.12499210000000005
0,all-some,"If Adam spots some of the candles, Adam will get a prize. Adam spotted all of the candles. Does Adam get a prize?","

",0,-2.5143778,-2.5426946,,-0.02831679999999981
0,all-all,"If Lucy gets all of the apples, Lucy will get a prize. Lucy got all of the apples. Does Lucy get a prize?","

",0,-2.4178936,,,
0,some-some,"If Lucy eats some of the pretzels, Lucy will get a prize. Lucy ate some of the pretzels. Does Lucy get a prize?","

",0,-2.544081,-2.9949477,,-0.4508667000000002
0,some-all,"If all of the chocolates are tasty, you will get a prize. Some of the chocolates are tasty. Do you get a prize?","

",0,,-3.5505552,,
0,all-some,"If Ann buys some of the toys, Ann will get a prize. Ann bought all of the toys. Does Ann get a prize?","

",0,-2.7938735,-3.633839,,-0.8399654999999999
0,all-all,"If the actress orders all of the sweaters, the actress will get a prize. The actress ordered all of the sweaters. Does the actress get a prize?","

",0,-2.2226439,,,
0,some-some,"If the actress owns some of the cupcakes, the actress will get a prize. The actress owned some of the cupcakes. Does the actress get a prize?","

",0,-2.4663773,-3.1627805,,-0.6964032000000002
0,some-all,"If the teacher buys all of the toys, the teacher will get a prize. The teacher bought some of the toys. Does the teacher get a prize?","

",0,-2.8174312,-2.9014919,,0.08406069999999977
0,all-some,"If John spots some of the keyrings, John will get a prize. John spotted all of the keyrings. Does John get a prize?","

",0,-2.6245933,-3.0835166,,-0.4589232999999999
0,all-all,"If the actress sees all of the parades, the actress will get a prize. The actress saw all of the parades. Does the actress get a prize?","

",0,-2.8241456,,,
0,some-some,"If Mary spots some of the peanuts, Mary will get a prize. Mary spotted some of the peanuts. Does Mary get a prize?","

",0,-2.7164261,,,
0,some-all,"If the teacher buys all of the backpacks, the teacher will get a prize. The teacher bought some of the backpacks. Does the teacher get a prize?","

",0,-2.7010686,-2.8642,,0.1631313999999997
0,all-some,"If some of the sweaters are impressive, you will get a prize. All of the sweaters are impressive. Do you get a prize?","

",0,-2.4420629,-2.8367274,,-0.3946645000000002
