Prefix Length,Determiners,Prompt,Answer,Correct
1,two-three,"Ann wanted some of the strawberries. Did Ann want two of the strawberries? Yes.
Sophie got two of the rings. Did Sophie get three of the rings?", No.,1
1,three-two,"Ann wanted some of the strawberries. Did Ann want two of the strawberries? Yes.
Jim ordered three of the cupcakes. Did Jim order two of the cupcakes?", No.,0
1,three-at least two,"Ann wanted some of the strawberries. Did Ann want two of the strawberries? Yes.
The actor purchased three of the shoes. Did the actor purchase at least two of the shoes?", Yes.,1
1,at least two-three,"Ann wanted some of the strawberries. Did Ann want two of the strawberries? Yes.
At least two of the scarves are colourful. Are three of the scarves colourful?", Yes.,0
1,three-three,"Ann wanted some of the strawberries. Did Ann want two of the strawberries? Yes.
Laura had three of the candles. Did Laura have three of the candles?", Yes.,1
1,at least two-at least two,"Ann wanted some of the strawberries. Did Ann want two of the strawberries? Yes.
Mary saw at least two of the temples. Did Mary see at least two of the temples?", Yes.,1
1,two-three,"Jim got both of the apples. Did Jim get two of the apples? Yes.
Lucy spotted two of the cherries. Did Lucy spot three of the cherries?", No.,1
1,three-two,"Jim got both of the apples. Did Jim get two of the apples? Yes.
Mark had three of the peanuts. Did Mark have two of the peanuts?", No.,0
1,three-at least two,"Jim got both of the apples. Did Jim get two of the apples? Yes.
The teacher ate three of the peanuts. Did the teacher eat at least two of the peanuts?", Yes.,1
1,at least two-three,"Jim got both of the apples. Did Jim get two of the apples? Yes.
At least two of the pastries are warm. Are three of the pastries warm?", Yes.,0
1,three-three,"Jim got both of the apples. Did Jim get two of the apples? Yes.
Mark got three of the sweaters. Did Mark get three of the sweaters?", Yes.,1
1,at least two-at least two,"Jim got both of the apples. Did Jim get two of the apples? Yes.
Lucy purchased at least two of the sandwiches. Did Lucy purchase at least two of the sandwiches?", Yes.,1
1,two-three,"The actress ate some of the pretzels. Did the actress eat more than one of the pretzels? Yes.
Sidney saw two of the hats. Did Sidney see three of the hats?", No.,1
1,three-two,"The actress ate some of the pretzels. Did the actress eat more than one of the pretzels? Yes.
Mary owned three of the pastries. Did Mary own two of the pastries?", Yes.,1
1,three-at least two,"The actress ate some of the pretzels. Did the actress eat more than one of the pretzels? Yes.
Sam saw three of the umbrellas. Did Sam see at least two of the umbrellas?", Yes.,1
1,at least two-three,"The actress ate some of the pretzels. Did the actress eat more than one of the pretzels? Yes.
The teacher sold at least two of the cars. Did the teacher sell three of the cars?", No.,0
1,three-three,"The actress ate some of the pretzels. Did the actress eat more than one of the pretzels? Yes.
Three of the sweaters are red. Are three of the sweaters red?", Yes.,1
1,at least two-at least two,"The actress ate some of the pretzels. Did the actress eat more than one of the pretzels? Yes.
The singer purchased at least two of the strawberries. Did the singer purchase at least two of the strawberries?", Yes.,1
1,two-three,"Robin noticed two of the oranges. Did Robin notice some of the oranges? Yes.
Two of the peanuts are warm. Are three of the peanuts warm?", No.,1
1,three-two,"Robin noticed two of the oranges. Did Robin notice some of the oranges? Yes.
The woman saw three of the toys. Did the woman see two of the toys?", No.,0
1,three-at least two,"Robin noticed two of the oranges. Did Robin notice some of the oranges? Yes.
The woman ordered three of the candles. Did the woman order at least two of the candles?", Yes.,1
1,at least two-three,"Robin noticed two of the oranges. Did Robin notice some of the oranges? Yes.
At least two of the tickets are red. Are three of the tickets red?", Yes.,0
1,three-three,"Robin noticed two of the oranges. Did Robin notice some of the oranges? Yes.
Bill had three of the oranges. Did Bill have three of the oranges?", Yes.,1
1,at least two-at least two,"Robin noticed two of the oranges. Did Robin notice some of the oranges? Yes.
Jim sold at least two of the cars. Did Jim sell at least two of the cars?", Yes.,1
1,two-three,"Lucy liked half of the apples. Did Lucy like some of the apples? Yes.
The actor owned two of the oranges. Did the actor own three of the oranges?", No.,1
1,three-two,"Lucy liked half of the apples. Did Lucy like some of the apples? Yes.
Michael bought three of the scarves. Did Michael buy two of the scarves?", No.,0
1,three-at least two,"Lucy liked half of the apples. Did Lucy like some of the apples? Yes.
Sally had three of the chocolates. Did Sally have at least two of the chocolates?", Yes.,1
1,at least two-three,"Lucy liked half of the apples. Did Lucy like some of the apples? Yes.
Sally noticed at least two of the snacks. Did Sally notice three of the snacks?", No.,0
1,three-three,"Lucy liked half of the apples. Did Lucy like some of the apples? Yes.
Adam owned three of the strawberries. Did Adam own three of the strawberries?", Yes.,1
1,at least two-at least two,"Lucy liked half of the apples. Did Lucy like some of the apples? Yes.
Adam liked at least two of the tickets. Did Adam like at least two of the tickets?", Yes.,1
1,two-three,"The singer owned two of the scarves. Did the singer own two of the scarves? Yes.
Adam ate two of the cupcakes. Did Adam eat three of the cupcakes?", No.,1
1,three-two,"The singer owned two of the scarves. Did the singer own two of the scarves? Yes.
The actress ordered three of the shirts. Did the actress order two of the shirts?", No.,0
