Prefix Length,Determiners,Prompt,Answer,Correct
0,some-all,"
The man wanted some of the pretzels. Did the man want all of the pretzels?","

",0
0,all-some,"
All of the scarves are red. Are some of the scarves red?","

",0
0,all-all,"
Jim saw all of the cupcakes. Did Jim see all of the cupcakes?","

",0
0,some-some,"
Ann saw some of the scarves. Did Ann see some of the scarves?","

",0
0,some-all,"
Jim ordered some of the keyrings. Did Jim order all of the keyrings?","

",0
0,all-some,"
John owned all of the shoes. Did John own some of the shoes?","

",0
0,all-all,"
Sidney bought all of the burgers. Did Sidney buy all of the burgers?","

",0
0,some-some,"
The actor spotted some of the bagels. Did the actor spot some of the bagels?","

",0
0,some-all,"
Mark bought some of the umbrellas. Did Mark buy all of the umbrellas?","

",0
0,all-some,"
The man ate all of the pancakes. Did the man eat some of the pancakes?","

",0
0,all-all,"
Jim spotted all of the pastries. Did Jim spot all of the pastries?","

",0
0,some-some,"
Sidney noticed some of the warnings. Did Sidney notice some of the warnings?","

",0
0,some-all,"
Sidney liked some of the toys. Did Sidney like all of the toys?","

",0
0,all-some,"
Jo owned all of the sandwiches. Did Jo own some of the sandwiches?","

",0
0,all-all,"
John noticed all of the dogs. Did John notice all of the dogs?","

",0
0,some-some,"
Robin had some of the peanuts. Did Robin have some of the peanuts?","

",0
0,some-all,"
The singer sold some of the keyrings. Did the singer sell all of the keyrings?","

",0
0,all-some,"
Sophie noticed all of the adverts. Did Sophie notice some of the adverts?","

",0
0,all-all,"
All of the peanuts are cheap. Are all of the peanuts cheap?","

",0
0,some-some,"
John got some of the strawberries. Did John get some of the strawberries?","

",0
0,some-all,"
Sophie liked some of the churros. Did Sophie like all of the churros?","

",0
0,all-some,"
All of the scarves are green. Are some of the scarves green?","

",0
0,all-all,"
The singer purchased all of the rings. Did the singer purchase all of the rings?","

",0
0,some-some,"
The woman owned some of the strawberries. Did the woman own some of the strawberries?","

",0
0,some-all,"
Sidney got some of the cars. Did Sidney get all of the cars?","

",0
0,all-some,"
Sidney sold all of the sweaters. Did Sidney sell some of the sweaters?","

",0
0,all-all,"
All of the candles are orange. Are all of the candles orange?","

",0
0,some-some,"
The singer liked some of the hats. Did the singer like some of the hats?","

",0
0,some-all,"
Some of the rings are sold out. Are all of the rings sold out?","

",0
0,all-some,"
Adam liked all of the snacks. Did Adam like some of the snacks?","

",0
0,all-all,"
All of the pastries are on sale. Are all of the pastries on sale?","

",0
0,some-some,"
John liked some of the cherries. Did John like some of the cherries?","

",0
0,some-all,"
Jo wanted some of the cars. Did Jo want all of the cars?","

",0
0,all-some,"
All of the pastries are affordable. Are some of the pastries affordable?","

",0
0,all-all,"
The man spotted all of the toys. Did the man spot all of the toys?","

",0
0,some-some,"
Mark spotted some of the burgers. Did Mark spot some of the burgers?","

",0
0,some-all,"
Adam had some of the mugs. Did Adam have all of the mugs?","

",0
0,all-some,"
The actress ate all of the apples. Did the actress eat some of the apples?","

",0
0,all-all,"
Michael ordered all of the cakes. Did Michael order all of the cakes?","

",0
0,some-some,"
Some of the pastries are warm. Are some of the pastries warm?","

",0
0,some-all,"
Some of the tickets are green. Are all of the tickets green?","

",0
0,all-some,"
Sophie had all of the hats. Did Sophie have some of the hats?","

",0
0,all-all,"
John saw all of the cars. Did John see all of the cars?","

",0
0,some-some,"
John sold some of the shoes. Did John sell some of the shoes?","

",0
0,some-all,"
Sam liked some of the cherries. Did Sam like all of the cherries?","

",0
0,all-some,"
The actress had all of the peanuts. Did the actress have some of the peanuts?","

",0
0,all-all,"
Michael had all of the tickets. Did Michael have all of the tickets?","

",0
0,some-some,"
Sam ordered some of the bottles. Did Sam order some of the bottles?","

",0
0,some-all,"
Adam bought some of the pastries. Did Adam buy all of the pastries?","

",0
0,all-some,"
Sidney purchased all of the sweaters. Did Sidney purchase some of the sweaters?","

",0
0,all-all,"
Adam ordered all of the strawberries. Did Adam order all of the strawberries?","

",0
0,some-some,"
Some of the mugs are expensive. Are some of the mugs expensive?","

",0
0,some-all,"
Michael owned some of the bottles. Did Michael own all of the bottles?","

",0
0,all-some,"
Michael owned all of the snacks. Did Michael own some of the snacks?","

",0
0,all-all,"
All of the toys are green. Are all of the toys green?","

",0
0,some-some,"
Mary had some of the candles. Did Mary have some of the candles?","

",0
0,some-all,"
Bill noticed some of the bottles. Did Bill notice all of the bottles?","

",0
0,all-some,"
The man ordered all of the sweaters. Did the man order some of the sweaters?","

",0
0,all-all,"
Jo owned all of the shoes. Did Jo own all of the shoes?","

",0
0,some-some,"
Some of the sweaters are affordable. Are some of the sweaters affordable?","

",0
0,some-all,"
The actress liked some of the tickets. Did the actress like all of the tickets?","

",0
0,all-some,"
All of the chocolates are tasty. Are some of the chocolates tasty?","

",0
0,all-all,"
The man ate all of the strawberries. Did the man eat all of the strawberries?","

",0
0,some-some,"
Jo got some of the pancakes. Did Jo get some of the pancakes?","

",0
0,some-all,"
Sam liked some of the tickets. Did Sam like all of the tickets?","

",0
0,all-some,"
Lucy wanted all of the cherries. Did Lucy want some of the cherries?","

",0
0,all-all,"
Jo purchased all of the bagels. Did Jo purchase all of the bagels?","

",0
0,some-some,"
Some of the candles are impressive. Are some of the candles impressive?","

",0
0,some-all,"
Ann bought some of the shoes. Did Ann buy all of the shoes?","

",0
0,all-some,"
The teacher wanted all of the sandwiches. Did the teacher want some of the sandwiches?","

",0
0,all-all,"
All of the strawberries are expensive. Are all of the strawberries expensive?","

",0
0,some-some,"
The actress ordered some of the cherries. Did the actress order some of the cherries?","

",0
0,some-all,"
John wanted some of the rings. Did John want all of the rings?","

",0
0,all-some,"
The singer sold all of the shirts. Did the singer sell some of the shirts?","

",0
0,all-all,"
Jim noticed all of the cars. Did Jim notice all of the cars?","

",0
0,some-some,"
John wanted some of the cupcakes. Did John want some of the cupcakes?","

",0
0,some-all,"
The man got some of the cakes. Did the man get all of the cakes?","

",0
0,all-some,"
John purchased all of the cakes. Did John purchase some of the cakes?","

",0
0,all-all,"
Sally ate all of the cupcakes. Did Sally eat all of the cupcakes?","

",0
0,some-some,"
Some of the pretzels are impressive. Are some of the pretzels impressive?","

",0
0,some-all,"
Some of the sandwiches are affordable. Are all of the sandwiches affordable?","

",0
0,all-some,"
All of the attractions are pretty. Are some of the attractions pretty?","

",0
0,all-all,"
Adam spotted all of the burgers. Did Adam spot all of the burgers?","

",0
0,some-some,"
The actress purchased some of the candles. Did the actress purchase some of the candles?","

",0
0,some-all,"
The actress wanted some of the sweaters. Did the actress want all of the sweaters?","

",0
0,all-some,"
Laura ate all of the cupcakes. Did Laura eat some of the cupcakes?","

",0
0,all-all,"
Jim got all of the pastries. Did Jim get all of the pastries?","

",0
0,some-some,"
The woman bought some of the bagels. Did the woman buy some of the bagels?","

",0
0,some-all,"
Sophie had some of the shoes. Did Sophie have all of the shoes?","

",0
0,all-some,"
The actor had all of the strawberries. Did the actor have some of the strawberries?","

",0
0,all-all,"
All of the backpacks are orange. Are all of the backpacks orange?","

",0
0,some-some,"
The teacher got some of the cars. Did the teacher get some of the cars?","

",0
0,some-all,"
Sidney owned some of the keyrings. Did Sidney own all of the keyrings?","

",0
0,all-some,"
Mary saw all of the scarves. Did Mary see some of the scarves?","

",0
0,all-all,"
The woman spotted all of the dogs. Did the woman spot all of the dogs?","

",0
0,some-some,"
Sidney wanted some of the shoes. Did Sidney want some of the shoes?","

",0
0,some-all,"
The actor bought some of the sweaters. Did the actor buy all of the sweaters?","

",0
0,all-some,"
The teacher noticed all of the pastries. Did the teacher notice some of the pastries?","

",0
0,all-all,"
John saw all of the oranges. Did John see all of the oranges?","

",0
0,some-some,"
Mary purchased some of the umbrellas. Did Mary purchase some of the umbrellas?","

",0
0,some-all,"
Adam bought some of the chocolates. Did Adam buy all of the chocolates?","

",0
0,all-some,"
All of the cherries are mouldy. Are some of the cherries mouldy?","

",0
0,all-all,"
Sally purchased all of the hats. Did Sally purchase all of the hats?","

",0
0,some-some,"
The man got some of the mugs. Did the man get some of the mugs?","

",0
0,some-all,"
Some of the cars are colourful. Are all of the cars colourful?","

",0
0,all-some,"
Ann noticed all of the cars. Did Ann notice some of the cars?","

",0
0,all-all,"
The actress wanted all of the oranges. Did the actress want all of the oranges?","

",0
0,some-some,"
Sidney wanted some of the candles. Did Sidney want some of the candles?","

",0
0,some-all,"
Sam purchased some of the sweaters. Did Sam purchase all of the sweaters?","

",0
